id,ссылка,адрес,округ,район,метро,мин_до_метро,цена,комнат,площадь,этаж,шум,окна,фото_шт,первое_фото,описание
cian_321909096,https://www.cian.ru/sale/flat/321909096/?mlSearchSessionGuid=c588519bf276f9708c2b895adf92b9c0,"Россия, Москва, Бутиковский переулок, д. 5",ЦАО,Хамовники,Парк Культуры,10,5000000,3,150.0,2/6,medium,,20,https://images.cdn-cian.ru/images/2849732061-1.jpg,"""Бутиковский 5"" - жилой дом клубного типа, который по праву входит в пятерку лучших жилых комплексов ""Золотой мили"". Дом находится в тихом переулке между улицей Остоженка и Пречистенской набережной, что обеспечивает максимальную приватность и комфорт проживания. Особняк имеет уютный, строго охраняемый двор в японском стиле и внутреннюю инфраструктуру с детской игровой площадкой, тренажерным залом и зоной СПА (спортивный бассейн и сауна), доступной жильцам 24/7. Планировочное решение квартиры удовлетворит запрос покупателей, кто отдает предпочтение простору и удобству. Большая спальня с ванной комнатой, кухня-гостиная, гардеробная комната, гостевой с/у. Два машиноместа в подземном паркинге. Н"
cian_317410376,https://www.cian.ru/sale/flat/317410376/?mlSearchSessionGuid=c588519bf276f9708c2b895adf92b9c0,"Москва, Сретенский бульвар 6/1с1","","",Тургеневская,3,5000000,3,231.0,5/5,medium,,20,https://images.cdn-cian.ru/images/2873037217-1.jpg,"Роскошная квартира площадью 231 м² эксклюзивного формата в доходном доме ""Дом Россия"" в самом центре Москвы на Сретенском бульваре, 6 Интерьер квартиры вызывает восторг, неповторимый стиль и эстетика в каждой детали. 231 м² творческого пространства с высокими потолками 3,8 м; предметы мебели изготовлены на заказ, которые гармонично сочетаются с винтажными элементами декора, мрамора в санузлах, красного дерева в кабинете, шелковые обои в спальне, гобелен 18 века, антикварные люстры, все это создает изысканную роскошь; паркетная доска, трехметровые двери; установлена приточно-вытяжная вентиляция с системой увлажнения воздуха Функциональная планировка: кухня-столовая с выходом на балкон, гостин"
cian_315702571,https://www.cian.ru/sale/flat/315702571/?mlSearchSessionGuid=c9c1b9e4ee74363aa19172767513c7e8,"Москва, Пречистенская наб., 17-19",ЦАО,Хамовники,Кропоткинская,9,5464000,2,175.0,4/7,medium,,13,https://images.cdn-cian.ru/images/2902061355-1.jpg,"Видовая квартира с одной спальней площадью 175 м² в комплексе делюкс-класса ""Баркли Плаза"" на четвёртом этаже. Интерьер оформлен в стиле современном классики с использованием премиальных материалов. Многоуровневые потолки украшают дизайнерские люстры и карниз. Квартира полностью меблирована и укомплектована бытовой техникой. Функциональная планировка включает просторную кухню-гостиную, спальню с собственной ванной комнатой с двумя окнами и гардеробной, гостевой санузел, кладовую, гардеробную и холл. Панорамные окна ориентированы на три стороны, открываются виды на Москву-реку, памятник Петру Первому и благоустроенную территорию комплекса. Главное о доме. ""Баркли Плаза"" выходит на Пречистенск"
cian_326315191,https://www.cian.ru/sale/flat/326315191/?mlSearchSessionGuid=c588519bf276f9708c2b895adf92b9c0,"Россия, Москва, Малый Новопесковский переулок, 8","","",Смоленская,6,5500000,3,207.0,8/14,high,,40,https://images.cdn-cian.ru/images/kvartira-moskva-malyy-novopeskovskiy-pereulok-2788292065-1.jpg,"ID: 8374. Видовая квартира в элитном доме на набережной. Панорамные окна. Отделка категории de luxe в классическом стиле. Эксклюзивная мебель фабрик Francesco Molon, Savio Firmino, Jumbo Collection, Grifoni Vittorio. Бытовая техника Miele, Bosch, Homeier. Сантехника и аксессуары Hoesch, Hansgrohe, Kohler, Rosbri. Аксессуары Lalique, Daum, Angelo Cappellini. Мрамор Emperador Dark. Планировкой предусмотрены: Большая зона гостиной-кухни-столовой, 2 спальни, 2 санузла, постирочная. Предусмотрено 1 машиноместо в подземном паркинге. Дом категории De luxe расположен в 200 метрах от набережной Москва-реки, в 700 мерах от Нового Арбата, в 10 минутах на машине от Кремля. Современная архитектура отделк"
cian_331116854,https://www.cian.ru/sale/flat/331116854/?mlSearchSessionGuid=78a0666744577009d6ebe85c885a6bab,"Россия, Москва, улица Артюхиной, 6к2","","",Текстильщики,12,5799000,1,19.3,5/5,high,,18,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-artyuhinoy-2902543173-1.jpg,"Продается Студия-Мастерская-лофт. Это отдельное помещение со своим кадастровым номером -77:04:0004001:12867 (это не доля, а отдельное помещение). В студии можно сделать отдельное помещение для приготовления пищи. Студия полностью готова к эксплуатации, возможна продажа с установленной стиральной машиной (цены от производителя, установка стиралки и сборка мебели для покупателя бесплатная). Студия находится в 8 минутах пешком от метро Текстильщики и жд/платформы Текстильщики. Одна из лучших цен по Москве. Студия отлично подойдет для инвестиционных целей, студия расположена на 5-м этаже в 5-ти этажном кирпичном здании (в здании есть мансардный этаж поэтому в помещении не жарко) . В студии высок"
cian_329481394,https://www.cian.ru/sale/flat/329481394/?mlSearchSessionGuid=47cec43a6de60666aa67b63cb29341cb,"Москва, Большой Харитоньевский пер., д. 16-18",ЦАО,Басманный,Красные ворота,4,6000000,4,421.0,6/7,high,,21,https://images.cdn-cian.ru/images/2866553495-1.jpg,"Двухуровневая квартира имеет четыре спальни в клубном доме ""Большой Харитоньевский, 16-18"". Единственная квартира на этаже по специальному доступу, площадью 421 м². Выполнена отделка в стиле эклектики с элементами ар-деко. Открытое пространство гостиной объединяет несколько зон отдыха: два дивана на подиумах, группа из круглых кресел и отдалённая ТВ зона с дровяным камином. Продуманы различные сценарии освещения — люстры, настенные светильники и споты. Квартира укомплектована мебелью и встроенной бытовой техникой, установлены системы вентиляции и кондиционирования воздуха. Функциональная планировка включает просторную гостиную, кухню-столовую, три спальни, кабинет, который можно оборудовать "
cian_327489583,https://www.cian.ru/sale/flat/327489583/?mlSearchSessionGuid=78a0666744577009d6ebe85c885a6bab,"Россия, Москва, Подъёмная улица, 14с25","","",Авиамоторная,16,6300000,1,21.0,1/4,low,,13,https://images.cdn-cian.ru/images/2839506758-1.jpg,"Номер в базе: 11955130. Продается двухуровневый апартамент-лофт в современном жилом комплексе ""Подъемная"" по адресу: ул. Подъемная, д. 14, корп. 25. Объект находится в отличном состоянии, приобретен в новом доме в 2021 году, стены недавно окрашены, все инженерные системы исправны. Фактическая полезная площадь составляет 21 кв. м за счет второго уровня, при этом официальная площадь 11,6 кв. м определяет низкую ежемесячную квартплату около 4 тысяч рублей. Высота потолков 5,8 метра создает ощущение простора, а планировка включает большую гардеробную. Комплекс расположен на закрытой охраняемой территории с собственной парковкой, зоной отдыха и площадкой для барбекю. В здании оборудован полноценн"
cian_331987150,https://www.cian.ru/sale/flat/331987150/?mlSearchSessionGuid=47cec43a6de60666aa67b63cb29341cb,"Россия, г. Москва, Голутвинский 1-й пер., д. 7",ЦАО,Якиманка,Октябрьская,10,6800000,4,185.1,2/4,high,,34,https://images.cdn-cian.ru/images/2922456385-1.jpg,"211663 ЖК Парк Резиденс Предлагается к продаже квартира площадью 185,1 кв.м. с авторским дизайнерским ремонтом, полностью укомплектованная мебелью и техникой премиальных брендов, в клубном жилом комплексе De Luxe Park Residence на Якиманке. В квартире есть балкон с живописными видами на центр Москвы. Park Residence — камерный четырехэтажный клубный дом напротив Парка искусств ""Музеон"", в нескольких минутах от Крымской набережной, Парка Горького и Кремля. Закрытая благоустроенная территория с ландшафтным дизайном, круглосуточной охраной, видеонаблюдением и системой контроля доступа обеспечивает высокий уровень приватности и безопасности. Из окон открываются виды на Музеон, памятник Петру 1, М"
cian_326204801,https://www.cian.ru/sale/flat/326204801/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,"ЖК Движение. Говорово, к2, квартал № 3, район Солнцево, Западный административный округ, Москва",ЗАО,Солнцево,"",23,6980000,1,24.0,8/15,high,,0,"","Инвестиционная студия White Box в ""Движение. Говорово"" — быстрый запуск аренды или перепродажи Ключи на руках | 24 м² | 15 минут до метро Предлагается к продаже апартамент-студия 24 кв. м в предчистовой отделке White Box в современном комплексе ""Движение. Говорово"". Это формат, который особенно интересен инвестору: ликвидный компактный метраж, минимальные вложения на старте, готовый объект без ожидания строительства и понятный сценарий дальнейшего использования — под аренду или перепродажу после финишной отделки. Главное преимущество — экономия времени и бюджета Все наиболее затратные и трудоемкие черновые работы уже выполнены застройщиком: — залита стяжка пола — выровнены и вышпаклеваны сте"
cian_329159831,https://www.cian.ru/sale/flat/329159831/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,"Москва, Пресненская набережная, 12",ЦАО,Пресненский,Деловой центр,1,8000000,1,8.0,84/95,high,,0,"","Компактный апартамент 8 кв.м в ""Башне Федерация"" (Восток). Юридический статус: нежилое помещение. Новый ремонт. Никто не проживал. - Кресло-кровать, встроенный шкаф для хранения вещей, кровать. - Холодильник, чайник, СВЧ-печь. - Санузел с душевой кабиной. - Приточно-вытяжная вентиляция и кондиционирование. - Отсутствие окон позволяет отдохнуть от ритма и суеты Сити. Стабильный рост стоимости и высокий спрос на аренду. Налог на имущество: 33 тыс. руб./год. Эксплуатационные платежи УК: 43 тыс. руб./год (вкл. НДС)."
cian_331599321,https://www.cian.ru/sale/flat/331599321/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,"Москва, № 3 квартал, 6к1",ЗАО,Солнцево,"",22,8700000,1,26.9,8/15,high,,0,"","Продаются апартаменты-студия площадью 26,9 кв.м. в Апарт комплексе ""Движение. Говорово"" Апартаменты расположены на 8 этаже. Полная отделка - Стиль отделки Белый шоколад. В студии два окна, функциональное зонирование, встроенная кухня с техникой. - Площадь: 26,9 кв.м - кухня -6,5 - комната 16,3 квм. - оснащение системой ""Умный дом"" Вид в благоустроенный двор, отсутствие шума с улицы. ЖК Движение. Говорово — это современный район с собственной инфраструктурой, развитой транспортной доступностью (рядом станция МЦД Говорово) и всеми необходимыми объектами для комфортной жизни. Дома расположены на юго-западе Москвы, в Новомосковском административном округе, в 300 м от МКАД. Рядом лес, пруд и речк"
cian_330544266,https://www.cian.ru/sale/flat/330544266/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,"Москва, Троицк г., Текстильщиков ул., 3к2",ТАО,Троицк,Троицк,13,9300000,1,36.6,10/17,medium,,0,"","Прямая продажа! В продаже однокомнатная квартира в Троицке. Строится Троицкая ветка метро, до станции минут 10-15 пешком. Уже сделана стяжка, частично штукатурка. Видеодомофон. 1 собственник. Никто не прописан. Площадь указана без учета лоджии. Московская прописка. Пассажирский и грузовой лифт. Первые этажи жилые. Метро будет Ватутинки/Троицк. Звоните!"
cian_331251319,https://www.cian.ru/sale/flat/331251319/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,"Россия, Москва, улица Маршала Савицкого, 24к1",НАО,Щербинка,"",68,9500000,1,43.0,17/17,low,,0,"","Номер в базе: 12887465. Однокомнатная квартира под ремонт с удачной планировкой: просторная комната с эркером, раздельный санузел и гардеробная. Квартира продаётся с мебелью. В шаговой доступности детские сады, школы, детская и взрослая поликлиники, продуктовые магазины. Для отдыха — два парка: Брусиловский с мангальными зонами и прудом, и ""Липки"" с бесплатным новым катком. Рядом фитнес-клуб XFIT. Транспортная доступность: 10 минут до МЦД Щербинка, 15 минут на автобусе до метро ""Аннино"" и ""Бульвар Дмитрия Донского"". Трое собственников, среди которых есть двое детей. Сделка-нотариальная. Документы в опеку- собираются. Альтернатива- подобрана. Звоните — договоримся о просмотре. Специальные усл"
cian_330263417,https://www.cian.ru/sale/flat/330263417/?mlSearchSessionGuid=78a0666744577009d6ebe85c885a6bab,"Россия, Москва, улица Маршала Новикова, 2к1","","",Щукинская,11,9500000,1,16.8,1/7,low,,18,https://images.cdn-cian.ru/images/2884298139-1.jpg,"Номер в базе: 12812777. Не просто студия, а СОБСТВЕННЫЙ мини-дом в Москве. ОТДЕЛЬНЫЙ ВХОД, два уровня, готовое пространство для жизни без дополнительных вложений. Здесь удобно жить, работать удаленно и отдыхать, разделяя жилую и спальную зоны. Идеально для активного городского жителя, студента или как инвестиция под аренду. Заезжайте и живите с первого дня. Можно заехать сразу после сделки без дополнительных вложений. Редкий формат в Щукино: двухуровневые апартаменты 16,8 м² с потолками 5 метров, отдельным входом и готовым ремонтом. Фактически это мини-квартира с максимально эффективным использованием пространства — без переплаты за лишние метры. На первом уровне — кухня, гостиная и санузел."
cian_330803250,https://www.cian.ru/sale/flat/330803250/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,"Россия, Новомосковский административный округ, Жемчужная улица, 1к2",НАО,Филимонковский,"",54,9500000,1,27.0,2/5,low,,0,"","Номер в базе: 12952550. Предлагаем уютную однокомнатную квартиру в ЖК комфорт класса ""Марьино Град"". Квартира расположена на втором этаже малоэтажного кирпичного дома 2021 года постройки, продуманная планировка, сделан ремонт. Дом тихий, соседей не слышно. Жилой комплекс построен в экологически чистом районе в окружении парков, рядом находится река Незнайка. Дворы обустроены детскими и спортивными площадками. Парковочные места всегда есть в наличии. Инфраструктура поселка Марьино в пешей доступности: школы, детские сады, поликлиника, магазины, кафе. Удобная локация жилого комплекса: между Калужским и Киевским шоссе дает возможность быстро добраться до Москвы. В шаговой доступности остановка "
cian_331599456,https://www.cian.ru/sale/flat/331599456/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,"Россия, Новомосковский административный округ, Гореловская улица, 3",НАО,Щербинка,"",79,9790000,1,41.5,7/12,low,W,0,"","Номер в базе: 12263205. Просторная квартира с лоджией и видом на закат ДОКУМЕНТЫ - 1 взрослый собственник - Без обременений и перепланировок - Квартира подходит под ипотеку, если нужно бесплатно — поможем КВАРТИРА Удобная планировка и возможность реализовать интерьер под себя. Комнаты изолированные, 2 спальни. Выполнена отделка White Box: проведена электрика, стяжка пола, штукатурка стен. Установлена качественная входная дверь с зеркалом. Отличная шумоизоляция. Преимущества: - большая жилая комната 17,9 м² - кухня 10 м² с отапливаемой лоджией - просторная прихожая с нишей под гардеробную - увеличенное количество розеток и вывод под кондиционер - большие окна и много естественного света - ква"
cian_332589317,https://www.cian.ru/sale/flat/332589317/?mlSearchSessionGuid=78a0666744577009d6ebe85c885a6bab,"Россия, Москва, Митинская улица, 16","","",Митино,9,10200000,1,29.5,23/25,medium,,20,https://images.cdn-cian.ru/images/2936258451-1.jpg,"Номер в базе: 13581448. Апартаменты в YES Митино — безопасный и удобный вариант для жизни. Продаются светлые, полностью меблированные апартаменты 29,5 м² на 23 этаже современного комплекса YES Митино. Из окон открывается красивый вид на Митинский парк. Это отличный вариант для родителей студентов, которым важно, чтобы ребенок жил самостоятельно, комфортно и в полной безопасности. Главное преимущество — безопасность: - закрытая территория; - въезд только через шлагбаум; - круглосуточная охрана и видеонаблюдение; - камеры в общих зонах и на этаже; - подняться на лифте можно только по ключ-карте. Апартаменты полностью готовы к проживанию: - вся мебель и техника остается; - удобная планировка; -"
cian_332412589,https://www.cian.ru/sale/flat/332412589/?mlSearchSessionGuid=78a0666744577009d6ebe85c885a6bab,"Россия, Москва, Пятницкое шоссе, 56б","","",Пятницкое шоссе,10,10300000,1,36.6,7/28,low,,19,https://images.cdn-cian.ru/images/2932145919-1.jpg,"Номер в базе: 13567767. Внесен аванс до 18.08 В продаже апартаменты формата евро-два площадью 36,60 м2 с видом на лес, на 7 этаже нового, современного дома. Апартаменты гостиничного типа, можно сделать регистрацию. Отличный вариант для собственного проживания или сдачи в аренду (от 60 000 руб). Ранее в аренду не сдавалась. Хорошая транспортная доступность. До метро Пятницкое шоссе 7-8 минут пешком (700 метров), до центра Москвы можно добраться всего за 30 минут. Апартаменты с хорошим, новым ремонтом и полностью оборудованы мебелью и техникой. Есть стиральная машинка с сушкой, электроплита, микроволновая печь, холодильник, кондиционер-инвертор. Просторная кухня-гостиная 18 м2, изолированная с"
cian_330218711,https://www.cian.ru/sale/flat/330218711/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,"Россия, Новомосковский административный округ, Чароитовая улица, 1к5",ТАО,Троицк,Кедровая,10,10400000,1,28.3,2/17,low,,0,"","Номер в базе: 12709477. Предлагаем Вашему вниманию, однокомнатную квартиру в ЖК ""Кленовые аллеи"". Квартира с удобной планировкой. Вместительна прихожая, с большой нишей под гардероб. Кухня с выходом на просторную лоджию, из которой можно сделать дополнительное пространство для отдыха или оборудовать рабочую зону. Сан узел совмещенный, большой, просторный. окна выходят во двор, солнечная сторона, света в квартире много. По документам: один взрослый собственник, долгов и обременений нет. В собственности более пяти лет. Новая станция метро ""Кедровая"", Троицкой линии, откроется в пешей доступности от комплекса, в 2029 году, что приведет к росту стоимости недвижимости в этом районе. Приглашаем на"
cian_332473366,https://www.cian.ru/sale/flat/332473366/?mlSearchSessionGuid=78a0666744577009d6ebe85c885a6bab,"Москва, Московский район, Московский г., Московский, Солнечная ул., д.3а, строение 3","","","",35,10500000,1,43.0,2/9,low,,22,https://images.cdn-cian.ru/images/2933621492-1.jpg,"Арт. 140166208 ДОМ РЯДОМ С ПРЕКРАСНЫМ ПАРКОМ ФИЛАТОВ ЛУГ! Вашему вниманию предлагается просторная, очень светлая, уютная квартира с ремонтом на комфортном 2 этаже 9-этажного дома в ЖК ""КЛУБНЫЙ ДОМ СОЛНЕЧНЫЙ"". УДАЧНАЯ ПЛАНИРОВКА КВАРТИРЫ: КУХНЯ-ГОСТИНАЯ, КОМНАТА, БОЛЬШОЙ КОРИДОР, СОВМЕЩЕННЫЙ С/У ОТЛИЧНОЕ ПРЕИМУЩЕСТВО! КВАРТИРА С МЕБЕЛЬЮ И ТЕХНИКОЙ - ВСЕ ОСТАЕТСЯ НОВОМУ СОБСТВЕННИКУ! О ДОМЕ: Новый монолитный дом с железобетонными перекрытиями 2021 года постройки. 2 лифта, в том числе грузовой, просторные входные группы, консьерж, тихие соседи, видеонаблюдение, закрытая облагороженная территория - всегда есть парковочные места! ИНФРАСТРУКТУРА: Все развито аптеки, сетевые продуктовые магазины, м"
