запрос,id,адрес,цена,комнат,площадь,метров_до_патриарших,оценка_1_2_3,описание
b04,cian_324944297,"Россия, Москва, Большой Козихинский переулок, 7",49500000,3,56.6,293,"","Предлагается трехкомнатная квартира 56,6 м², расположенная в историческом районе города. Пространственное решение включает просторную кухню-столовую, две уютные спальни, функциональную ванную комнату и вместительный коридор. Классический стиль ремонта, выполненный по авторскому дизайн проекту, подчеркивает элегантность пространства и создает атмосферу уюта. В квартире установлена высококачественная мебель, соответствующая стилистическому решению помещения. Современная бытовая техника обеспечивает комфорт проживания и удобство эксплуатации жилья. Наличие специального винного холодильника позвол"
b04,cian_332857481,"Москва, Садово-Кудринская улица, 19к1",191000000,4,180.0,313,"","ID 9854 Роскошная квартира вашей мечты - в легендарном доходном доме! Представьте: вы входите в просторную кухнюгостиную площадью 60 м., где всё продумано до мелочей - современная кухня оснащена встроенной техникой ведущих брендов. Что внутри: 3 уютные спальни, все 3 - просторные мастерспальни с собственными санузлами; множество гардеробных зон - хватит места для всей коллекции одежды; удобная постирочная - больше никаких корзин с бельём в жилых комнатах! Дом с историей: когдато это был доходный дом, и его уникальная архитектура до сих пор впечатляет. Здесь сочетаются шарм прошлого и комфорт с"
b04,cian_331394711,"Москва, Спиридоновка ул., 19",215000000,3,137.4,357,"","ЭКСКЛЮЗИВ! К продаже предлагается роскошная трехкомнатная квартира с дорогой дизайнерской отделкой от известного архитектурного бюро в самой престижной и востребованной локации Москвы на Патриарших прудах в одном из лучших домов ЦК. Функциональной планировкой предусмотрено: -большая прихожая -гостевой санузел -постирочная комната -просторная гостиная с большим открытым балконом -большая кухня -мастер-спальня со своим санузлом с окном и большой гардеробной с окном - спальнякабинет со своим санузлом. В отделке использованы дорогие материалы и ценные породы камня и дерева, текстиль. Бытовая техни"
b04,cian_329358235,"Москва, Большой Палашёвский переулок, 11с1",226750000,1,71.0,401,"","Просторная светлая квартира площадью 71,1 кв. м. Кухня-гостиная и спальня обращены окнами в сторону Большого Палашёвского переулка, панорамные окна и открытые балконы наполняют пространство воздухом. Продуманная планировка позволяет разместить одну спальную комнату с отдельным санузлом и гардеробной. ""Палашёвский 11"" - завораживающе красивый и самый насыщенный дом в приватной части культового района Патриарших прудов. Расположен в центре событий и при этом в тишине, вдали от шумных улиц, в дорогой и престижной локации. Каждая деталь ""Палашёвского 11"" отражает взыскательную роскошь. Эффектная а"
b04,cian_331911587,"Москва, Большой Палашёвский переулок, 11с1",271170000,2,88.0,401,"","Просторная двухэтажная квартира. Площадь по полу 62,6 кв. м. Потолки высотой 7,39 метра позволяют создать самые смелые сценарии жизни и придают квартире уникальный стиль и характер. Панорамные окна на каждом этаже позволяют наслаждаться видами и естественным светом. Спальни с отдельными гардеробными и санузлами подарят комфорт и удобство для каждого члена семьи. ""Палашёвский 11"" - завораживающе красивый и самый насыщенный дом в приватной части культового района Патриарших прудов. Расположен в центре событий и при этом в тишине, вдали от шумных улиц, в дорогой и престижной локации. Каждая детал"
b04,cian_332696928,"Москва, Большой Палашёвский переулок, 11с1",463180000,2,118.0,401,"","Просторная квартира площадью 158,4 кв. м. Все окна квартиры обращены в уютный, приватный двор-сад - тихое, зелёное пространство, защищённое от городского шума, где царит атмосфера уединения и спокойствия. Французские балконы при каждом окне наполняют пространство воздухом и светом, добавляя интерьеру лёгкость и изящный ритм фасадной архитектуры. Продуманная планировка предусматривает 3 мастер-спальни с собственными гардеробными и ванными комнатами. ""Палашёвский 11"" - завораживающе красивый и самый насыщенный дом в приватной части культового района Патриарших прудов. Расположен в центре событий"
b04,cian_332839210,"Москва, Большой Палашёвский переулок, 11с1",567030000,3,168.0,401,"","Просторная двухэтажная квартира. Площадь по полу 119,8 кв. м. Потолки высотой 7,39 метра позволяют создать самые смелые сценарии жизни и придают квартире уникальный стиль и характер. Панорамные окна на каждом этаже позволяют наслаждаться видами и естественным светом. Спальни с отдельными гардеробными и санузлами подарят комфорт и удобство для каждого члена семьи. ""Палашёвский 11"" - завораживающе красивый и самый насыщенный дом в приватной части культового района Патриарших прудов. Расположен в центре событий и при этом в тишине, вдали от шумных улиц, в дорогой и престижной локации. Каждая дета"
b04,cian_329358083,"Москва, Большой Палашёвский переулок, 11с1",826750000,4,254.0,401,"","Просторная квартира площадью 253,7 кв. м. спланирована на 4 мастер-спальни, каждая из которых имеет приватный санузел и гардеробную. Кухня-гостиная площадью 59,6 кв. м - это пространство, созданное для жизни и впечатлений. Здесь легко собирать близких, устраивать атмосферные ужины, наслаждаться общением и проводить по-настоящему тёплые, запоминающиеся вечера в кругу друзей. Консольные террасы с бесшовным выходом становятся естественным продолжением интерьера, стирая границу между внутренним пространством и городским пейзажем. Это идеальное место для отдыха, приватных встреч или стильных вечери"
b04,cian_329358046,"Москва, Большой Палашёвский переулок, 11с1",1448710000,3,235.0,401,"","Двухэтажный пентхаус площадью 235 кв. м. Пространство спланировано для максимального комфорта: 3 мастер-спальни с собственными ванными комнатами и гардеробными, продуманные системы хранения и эффектная кухня-гостиная площадью 85,1 кв. м, идеальное место для жизни, отдыха и приёма гостей. Дровяной камин в гостиной создаёт атмосферу уюта и становится выразительным акцентом пространства. Особое преимущество - просторная терраса площадью 74 кв. м, которая становится полноценным продолжением квартиры и открывает исключительные возможности для отдыха под открытым небом, атмосферных ужинов и стильных"
b04,cian_329358042,"Москва, Большой Палашёвский переулок, 11с1",1696440000,4,308.0,401,"","Двухэтажный пентхаус площадью 307,8 кв. м. Планировка продумана до мелочей: 4 мастер-спальни с собственными ванными комнатами и гардеробными, функциональные системы хранения и просторная кухня-гостиная площадью 78,4 кв. м, центральное пространство для жизни, общения и приёма гостей. Гостиную украшает дровяной камин, который создаёт атмосферу уюта и становится выразительным акцентом пространства. Отдельного внимания заслуживает терраса площадью 84,8 кв. м. Она органично продолжает жилое пространство и создаёт идеальные условия для отдыха на свежем воздухе, уютных ужинов и встреч в кругу близких"
b04,cian_329369076,"Россия, Москва, Большая Бронная улица, 9/1",1000000,2,65.0,457,"","Представляем вашему вниманию уютную двухкомнатную квартиру, расположенную в престижном районе Патриарших прудов. Дом, построенный в 1965 году, представляет собой крепкое кирпичное строение всего в девять этажей с одним подъездом, что обеспечивает тишину и спокойствие. Всего в доме 35 квартир, что говорит о камерной атмосфере и добрососедских отношениях. Квартира общей площадью 65 кв.м. предлагает продуманную планировку: две просторные изолированные комнаты площадью 20 и 18 кв.м. позволят каждому члену семьи иметь свое личное пространство, а кухня в 11 кв.м. станет любимым местом для семейных у"
b04,cian_330950257,"Россия, г. Москва, Гранатный пер., д. 6",445000000,4,163.5,488,"","004031 ЖК Гранатный пер., д. 6 Легендарная тишина Патриарших. Ваш эксклюзивный клубный дом De Luxe. Погрузитесь в безмятежную жизнь в самом сердце столицы. Новый эксклюзивный, элитный клубный дом класса де-люкс расположился в престижном, умиротворенном районе у легендарных Патриарших прудов. Это убежище для истинных ценителей ауры исторического центра, бесценной тишины и безупречного комфорта. Ваше расписание будет наполнено прогулками по оживленным улицам Москвы, где в шаговой доступности вас ждут модные бутики, гастрономические рестораны, уютные кафе и изысканные салоны — вся блестящая инфра"
b04,cian_326599816,"Москва, Благовещенский переулок, 5",40900000,2,62.0,503,"","Лот 1000232. Светлана Алиева. Продается 2-х комнатная квартира с хорошим свежим качественным ремонтом в историческом центре Москвы, в Благовещенском переулке. Расположена на 4 этаже 8-этажного кирпичного дома, потолки 3 метра. Квартира уютная, светлая и солнечная. Окна смотрят во двор, в квартире очень тихо. Общая площадь 62 кв.м. Спальня со встроенным шкафом для хранения на всю стену, большая просторная гостиная и отдельная кухня со всторенной мебелью. Один совмещенный санузел с ванной, кондиционер и бойлер. Квартира полностью меблирована, всё остается. Дом кирпичный, хорошая тепло- и звукоиз"
b04,cian_317410374,"Москва, ул. Спиридоновка д. 12",2430000,2,117.0,507,"","Просторная квартира с одной спальней в доме ""Спиридоновка, 12"" на Патриарших прудах. Квартира общей площадью 117 м² расположена на последнем 12 этаже с одними из лучших видовыми характеристиками. Выполнена отделка с использованием натуральных материалов — на полу массив ореха, в санузлах гранит и мрамор. Особый акцент в оформлении создается за счет панелей из дерева и графики на стенах. Продуманы различные сценарии освещения. Квартира укомплектована кухонной техникой Gaggenau и Kupperbusch, подогрев полов в санузлах, японская сплит-система, шторы на электроприводе. Планировкой предусмотрено: к"
b04,cian_328760948,"Москва, Гранатный пер, 10стр1",570000000,4,192.6,513,"","Номер объекта: 587984. Уникальный дом, построенный для руководителей и выдающихся деятелей советской эпохи, соседствует с Домом Приемов МИДа и районом Патриарших прудов. Этот дом советской элиты и сегодня отвечает самым высоким стандартам комфортного жилья, а обслуживание и охрана дома остаются на традиционно высоком уровне. Предложения квартир на продажу здесь появляются крайне редко. Просторная 4-комнатная квартира площадью 192.6 кв.м расположена на 5-м этаже. Функциональное планировочное решение: просторная гостиная, кухня, 3 спальни, 3 санузла, кладовая, 2 лоджии. Высокие потолки. Панорамн"
b04,cian_332702786,"Москва, ул. Тверская, д. 25/12, кв. 64",39900000,3,48.0,518,"","Квартира с 2 спальнями общей площадью 48 м² расположена на высоком 2 этаже исторического дома - в легендарном Доме Наркомлеса на Тверской, 25. Планировка включает кухню-гостиную с обеденной зоной, спальню, кабинет, который можно использовать как вторую спальню, ванную комнату и прихожую. Выполнена дизайнерская отделка во французском стиле. Потолки высотой 4 метра, паркет, уложенный ёлочкой, широкие каменные подоконники и высокие окна создают ощущение простора, света и благородной атмосферы. Квартира полностью укомплектована премиальной мебелью Eichholtz. Установлен кухонный гарнитур с фасадами"
b04,cian_331604618,"Москва, Большая Бронная улица, 27/4",155000000,4,255.0,570,"","Лот 59244. Качевская Полина. Начать рассказ об этой квартире хочется с цены. Где вы видели такие предложения — 600 тысяч рублей за метр в ЦАО? Да ещё и с таким знаковым адресом, который не нуждается в представлении: Большая Бронная улица. Помимо очевидной выгоды, здесь очень легко представить свою жизнь. Утром — кофе в любимом месте на Патриарших, несколько минут пешком до встреч в центре. Днем — размеренный ритм города за пределами вашего дома. Вечером — тишина старого московского переулка, где за окнами не шум магистралей, а история одного из самых красивых районов столицы. Эта квартира зани"
b04,cian_328205111,"Россия, г. Москва, Тверская-Ямская 1-я ул., д. 2А",119900000,2,94.0,726,"","204288 ЖК Vesper Tverskaya Срочная продажа! Новый апартамент! На продажу предлагается роскошный, абсолютно новый апартамент в жилом комплексе делюкс класса Vesper Tverskaya! Функциональная планировка: Просторная мастер-спальня со своим санузлом и гардеробом, гостиная с большой мягкой зоной для комфортного досуга, небольшая уютная кухня для вкусных завтраков, гостевой санузел. Множество мест хранения, сервировочные стильные столики для удобства подачи - перемещения блюд и напитков. Стильный, изысканный письменный стол для решения деловых задач. Апартамент полностью меблирован под ключ, никто не"
b04,cian_332632243,"Россия, г Москва, ул 2-я Брестская, д 6",21600000,1,37.2,728,"","Резиденция Тверская 37 м² Маяковская 5 мин АДРЕС: 2-я Брестская, 6 — ЖК ""Резиденция Тверская"", бизнес-класс Тверской район ПАРАМЕТРЫ -1 комната, 37,15 м² / кухня 6 м² -Потолки 3,1 м, панорамные окна -9 этаж из 12 -Апартаменты ОБ ОБЪЕКТЕ Апартамент в пред-чистовой отделке в клубном доме бизнес-класса в историческом центре Москвы. Вид на исторический центр с 9 этажа. Потолки 3 м, панорамные окна. Круглосуточная охрана, видеонаблюдение, консьерж. Идеально: проживание, представительский офис или арендная инвестиция. ТРАНСПОРТ Маяковская — 5 мин пешком Садовое кольцо, Тверская, весь деловой центр —"
b04,cian_330443032,"Москва, улица 2-я Брестская, д.6",24000000,1,38.0,728,"","ЖК Резиденция Тверская. Эксклюзивное предложение для тех, кто ищет апартаменты в новом доме премиум-класса с готовым дизайнерским ремонтом по доступной цене в самом сердце столицы. Отделка выполнена по индивидуальному дизайн-проекту. Зона кухни, перегородка, зона спальни и гостиной, совмещенный санузел с душевой кабиной и прихожая. Апартамент укомплектован всем необходимым для комфортного проживания или сдачи в аренду. На материалах не экономили. Ремонт делали для себя. Жилой комплекс расположен в 5 минутах от станции метро - Маяковская. Общая площадь составляет 37.5 квадратных метров, что поз"
b04,cian_329656510,"Россия, г. Москва, Брестская 2-я ул., д. 6",45000000,1,62.0,728,"","177977 ЖК Резиденция Тверская Роскошные апартаменты общей площадью 62 м² в престижном жилом комплексе ""Резиденция Тверская"". Интерьер помещения выполнен с применением материалов премиум-класса, каждая деталь продумана до мельчайших нюансов. Пространство сочетает в себе изысканный дизайн и максимальный комфорт. Апартаменты включают в себя: гостиную, совмещенную с кухней, расположенной в отдельной функциональной зоне, спальную зону. Все элементы мебели изготовлены из натуральных материалов. В спальне установлена комфортабельная двуспальная кровать с ортопедическим матрасом от Tempur. В гостиной "
b04,cian_330700694,"Россия, Москва, 2-я Брестская улица, 6",54900000,2,76.5,728,"","Премиальные апартаменты. Планировочное решение: кухня-гостиная, мастер-спальня, гардеробная с постирочной, холл, гостевой санузел. Окна выходят в тихий двор. Открытый вид, солнечная сторона. Апартаменты полностью меблированы и укомплектованы встроенной техникой ( кофемашина, холодильник, микроволновая печь, посудомоечная, стиральная машины- Smeg, Bosch). На кухне фартук и островная часть-натуральный камень. Итальянские светильники. Установлено видеонаблюдение, система кондиционирования и вентиляции. Консьерж-сервис, на 6 ом этаже - камерный ресторан с живописным 20 метровым водопадом. Бесшумны"
b04,cian_329035984,"Россия, г. Москва, Брестская 2-я ул., д. 6",73000000,2,80.0,728,"","194111 ЖК Резиденция Тверская Уникальный объект в ЦАО в стиле ""ПАРИЖСКИЙ ШИК"" Предложение для тех, кто ищет квартиру или апартаменты в новостройке премиум-класса с готовым ремонтом высокого уровня по цене, значительно ниже, чем в аналогичных домах в соседних районах! Объект с просторной кухней, тремя гардеробными и двумя санузлами, что соответствует всем современным тенденциям. В отделке кухни и санузлов использованы только эксклюзивные материалы и редкие породы камня: мрамор, оникс и кварцит. Во входной группе на полу — мраморная мозаика. Идеальное место для жизни! Преимущества квартиры/апарт"
b04,cian_332500030,"Россия, Москва, Большой Гнездниковский переулок, 3",210000000,3,160.0,758,"","ID: 5823. Дизайнерская трёхкомнатная квартира с роскошной гостиной с французскими окнами. Мастер-спальня с санузлом, кабинет с санузлом с возможностью переоборудования во вторую спальню. Имеется хозяйственная комната-постирочная, а также гостевой санузел. Интерьер выполнен по проекту итальянского архитектора. В отделке использованы бразильский палисандр, оникс, мрамор. Подключена система умный дом. Мебель Giorgetti и других ведущих итальянских брендов. Бытовая техника Gaggenau, Sub-Zero. Дом с подземным паркингом и бассейном расположен в окружении театров, ресторанов и лучших гимназий Москвы. "
b04,cian_331960482,"Москва, 1-я Тверская-Ямская улица, 2А",120142582,1,57.6,759,"","УНИКАЛЬНЫЙ ЛОТ! Апартаменты с полной отделкой и меблировкой, а также декорированием от BoscoCasa. Общая площадь 57,6 кв.м, 8-й этаж. Готовый дом с 5* уровнем сервиса от трендсеттера осознанного гостеприимства - Мосс Хоспиталити (всемирная ассоциация консьержей ""Золотые ключи""). Апартамент с декорированием БоскоКаса - готовый образ жизни в Веспер Тверская. Этот апартамент продается не просто как пространство, а как полностью продуманный интерьерный сценарий, созданный БоскоКаса для тех, кто ценит статус и безупречные детали. В интерьере использованы предметы ведущих европейских домов: МиссониХо"
b04,cian_332759820,"Россия, Москва, Воротниковский переулок, 5/9",53000000,2,50.0,774,"","Агент. Предлагается к продаже уникальная двухкомнатная квартира общей площадью 50 м² по адресу: Москва, Воротниковский переулок, дом 5/9. Это идеальный вариант для тех, кто ценит тишину исторического центра, премиальный комфорт. Дом расположен в тихом историческом центре Москвы, между станциями метро Маяковская, Пушкинская и Чеховская 5-7 минут спокойным шагом). Это малоэтажное здание с историей, в частности здесь жила Фаина Раневская и другие известные люди. Дом после полной реконструкции фасада с сохранением архитектурного облика. Монолитные перекрытия. Во дворе тихо и безопасно. Закрытая ох"
b04,cian_332843856,"Москва, Красина пер, 16стр1",98000000,4,260.0,780,"","Номер объекта: 13881. Апартаменты для проживания в Пресненском районе. 4-комнатные апартаменты 260 м² в центре Москвы | SKY LOFT KRASINA | м. Маяковская Предлагаются эксклюзивные 4-комнатные апартаменты для проживания площадью 260 м² в историческом центре Москвы по адресу: переулок Красина, 16с1. Редкий формат для ценителей нестандартной архитектуры, приватности и просторных интерьеров. Апартаменты расположены на последнем, 9-м этаже комплекса SKY LOFT KRASINA — без соседей сверху, с панорамным остеклением, мансардными окнами и впечатляющими видами на центр столицы. Главная особенность объекта"
